id,value,p(s),frequency,is_destination
0,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
1,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0024586968906479567,82,1
2,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00011993643369014422,4,0
3,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
4,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",8.995232526760817e-05,3,0
5,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0014092530958591946,47,0
6,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.004737489130760697,158,1
7,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
8,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.001019459686366226,34,1
9,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0019189829390423075,64,1
10,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0005696980600281851,19,0
11,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0035081406854367185,117,1
12,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0002098887589577524,7,0
13,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0023687445653803483,79,1
14,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
15,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0018290306137746994,61,1
16,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0011693802284789062,39,1
17,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00524721897394381,175,1
18,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.011124104224760878,371,1
19,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0007795868189859374,26,1
20,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0068063926119156844,227,1
21,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0034481724685916466,115,1
22,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.004767473239183233,159,1
23,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0008995232526760817,30,0
